ts,env_t,env_rh,env_ah,env_dew,env_p,camera1_p1,camera2_p1,sogg_pt,cucina_pt,interrato,taverna,studio,garage_air,printroom_t,printroom_rh,p1s_heater,p1s_fan,p1s_auto,out_real_t,out_real_rh,out_real_ah,out_real_p,window_p1,out_t,out_rh,out_dew,out_p,out_wind,out_cond
2026-08-19T07:18:10,26.2844314575195,54.9884033203125,13.5992488861084,16.52,976.340881347656,27.1,27.2,27.9,27.6,27.5,28.8,28.1,26.8,,,,,,,,,,chiusa,21.7,70,16.1,1010.0,13.0,partlycloudy
2026-08-19T07:18:10,26.2844314575195,54.9884033203125,13.5992488861084,16.52,976.340881347656,27.1,27.2,27.9,27.6,27.5,28.8,28.1,26.8,,,,,,,,,,chiusa,21.7,70,16.1,1010.0,13.0,partlycloudy
2026-08-19T07:23:09,26.4152755737305,54.9063873291016,13.6782293319702,16.62,976.389526367188,27.2,27.3,28.0,27.7,27.4,28.8,28.1,26.8,,,,,,,,,,chiusa,21.7,70,16.1,1010.0,13.0,partlycloudy
2026-08-19T07:28:12,26.4820327758789,55.0532531738281,13.7658319473267,16.72,976.354858398438,27.3,27.4,28.1,27.8,27.4,28.9,28.2,26.8,,,,,,,,,,chiusa,21.7,70,16.1,1010.0,13.0,partlycloudy
2026-08-19T07:33:10,26.5274276733398,55.3279151916504,13.8694705963135,16.84,976.362976074219,27.3,27.5,28.1,27.9,27.2,28.9,28.3,26.8,,,,,,,,,,chiusa,21.7,70,16.1,1010.0,13.0,partlycloudy
2026-08-19T07:35:28,26.5541305541992,55.4309158325195,13.9159250259399,16.9,976.427551269531,27.4,27.5,28.3,28.0,27.2,28.9,28.3,26.1,,,,,,28.2204132080078,49.5600051879883,13.6410312652588,976.667785644531,chiusa,21.7,70,16.1,1010.0,13.0,partlycloudy
2026-08-19T07:38:10,26.5728225708008,55.6235580444336,13.9788017272949,16.97,976.42236328125,27.4,27.5,28.3,28.0,27.2,28.9,28.3,26.1,,,,,,28.3112106323242,49.4131393432617,13.6684913635254,976.653564453125,chiusa,21.7,70,16.1,1010.0,13.0,partlycloudy
2026-08-19T07:43:11,26.6342391967773,55.6502647399902,14.0333137512207,17.03,976.446533203125,27.4,27.5,28.4,28.1,27.1,28.9,28.3,26.1,,,,,,unavailable,unavailable,unavailable,unavailable,chiusa,21.7,70,16.1,1010.0,13.0,partlycloudy
2026-08-19T07:48:11,26.6849746704102,55.6216506958008,14.0656671524048,17.07,976.452514648438,27.5,27.6,28.3,28.1,27.1,28.9,28.1,26.1,,,,,,26.9787139892578,49.9910736083984,12.849404335022,976.025756835938,chiusa,21.7,70,16.1,1010.0,13.0,partlycloudy
2026-08-19T07:53:11,26.6983261108398,55.6865043640137,14.0925102233887,17.1,976.478759765625,27.5,27.7,28.4,28.1,27.1,28.9,28.1,26.1,,,,,,26.6823043823242,50.7120628356934,12.8222227096558,976.080139160156,chiusa,21.8,73,16.9,1010.6,14.4,sunny
2026-08-19T07:58:12,26.7223587036133,55.6559867858887,14.103590965271,17.12,976.526306152344,27.5,27.7,28.5,28.1,27.2,29.0,28.2,26.1,,,,,,26.6529312133789,50.7139701843262,12.8018112182617,976.111572265625,chiusa,21.8,73,16.9,1010.6,14.4,sunny
2026-08-19T08:03:12,26.7143478393555,55.6884117126465,14.1055307388306,17.12,976.622802734375,27.6,27.7,28.5,28.2,27.2,28.9,28.1,26.1,,,,,,26.650260925293,50.7807273864746,12.8167638778687,976.173461914062,chiusa,21.8,73,16.9,1010.6,14.4,sunny
2026-08-19T08:08:13,26.7544097900391,55.673152923584,14.1330490112305,17.15,976.577331542969,27.7,27.8,28.5,28.3,27.3,28.9,28.2,26.1,,,,,,26.6689529418945,50.786449432373,12.8315153121948,976.205444335938,chiusa,21.8,73,16.9,1010.6,14.4,sunny
2026-08-19T08:13:13,26.7677612304688,55.6693382263184,14.1425590515137,17.16,976.628723144531,27.7,27.8,28.6,28.3,27.2,28.9,28.2,26.1,,,,,,26.6662826538086,50.8741874694824,12.8517789840698,976.255065917969,chiusa,21.8,73,16.9,1010.6,14.4,sunny
2026-08-19T08:18:14,26.8398590087891,55.6273765563965,14.1885213851929,17.22,976.65283203125,27.7,27.8,28.8,28.3,27.3,28.9,28.2,26.1,,,,,,26.7116775512695,50.6491203308105,12.8272047042847,976.239013671875,chiusa,21.8,73,16.9,1010.6,14.4,sunny
